item_code,uom,price_cents
BNW-BOL-HTM-M06-45MM,PCS,40
BNW-BOL-HTM-M06-50MM,PCS,40
BNW-BOL-HTM-M06-60MM,PCS,50
BNW-BOL-HTM-M06-70MM,PCS,60
BNW-BOL-HTM-M08-20MM,PCS,30
BNW-BOL-HTM-M08-25MM,PCS,30
BNW-BOL-HTM-M08-30MM,PCS,40
BNW-BOL-HTM-M08-35MM,PCS,40
BNW-BOL-HTM-M08-40MM,PCS,50
BNW-BOL-HTM-M08-45MM,PCS,50
BNW-BOL-HTM-M08-50MM,PCS,50
BNW-BOL-HTM-M08-60MM,PCS,70
BNW-BOL-HTM-M08-70MM,PCS,70
BNW-BOL-HTM-M10-100MM,PCS,150
BNW-BOL-HTM-M10-25MM,PCS,60
BNW-BOL-HTM-M10-30MM,PCS,70
BNW-BOL-HTM-M10-35MM,PCS,70
BNW-BOL-HTM-M10-40MM,PCS,80
BNW-BOL-HTM-M10-45MM,PCS,70
BNW-BOL-HTM-M10-50MM,PCS,80
BNW-BOL-HTM-M10-60MM,PCS,80
BNW-BOL-HTM-M10-65MM,PCS,90
BNW-BOL-HTM-M10-75MM,PCS,100
BNW-BOL-HTM-M12-100MM,PCS,210
BNW-BOL-HTM-M12-25MM,PCS,90
BNW-BOL-HTM-M12-30MM,PCS,110
BNW-BOL-HTM-M12-35MM,PCS,120
BNW-BOL-HTM-M12-40MM,PCS,130
BNW-BOL-HTM-M12-45MM,PCS,140
BNW-BOL-HTM-M12-50MM,PCS,150
BNW-BOL-HTM-M12-55MM,PCS,150
BNW-BOL-HTM-M12-60MM,PCS,150
BNW-BOL-HTM-M12-65MM,PCS,150
BNW-BOL-HTM-M12-70MM,PCS,150
BNW-BOL-HTM-M12-75MM,PCS,170
BNW-BOL-HTM-M14-100MM,PCS,360
BNW-BOL-HTM-M14-30MM,PCS,150
BNW-BOL-HTM-M14-35MM,PCS,160
BNW-BOL-HTM-M14-40MM,PCS,170
