item_code,uom,display_name,display_name_proposed,changed
ELE-LED-SOL-ISF-60W-65K,PCS,Il- Solar Floor Light -isf 60W 65K,Il- Solar Floor Light -isf 60W 65K,no
"FAS-SCR-CSK-3"" X 8G-PCK",PCK,Sr Csk Tapping Screw 3 X 8G (10PCS/PCK),Sr Csk Tapping Screw 3 X 8G (10PCS/PCK),no
FAS-SCR-TAP-CSK-6#X3/4-BOX,BOX,6 X3/4 Csk Self Tap Scrw-flat Head (1000PCS/BOX),6 X3/4 Csk Self Tap Scrw-flat Head (1000PCS/BOX),no
FIT-UPVC-BEN-ELB-45-155MM,PCS,U-pvc Bend (elbow) 155MM 6,U-pvc Bend (elbow) 155MM 6,no
"FIT-YG235-TEE-3/8""-BRA",PCS,Brass Equal Tee 3/8,Brass Equal Tee 3/8,no
GRA-CUT-BLA-12037(12),PCS,12 Grass Blade-s Trimmer Blade-small,12 Grass Blade-s Trimmer Blade-small,no
GRA-CUT-STC1820EPCF-CHARGER,PCS,Black+decker Power Command 18V -charger,Black+decker Power Command 18V -charger,no
ICE-COO-INO-18LTR-THBW/K-1,PCS,Inova 18 Ltr. Ice Cooler,Inova 18 Ltr. Ice Cooler,no
IND-CAS-TPR-RIG5,PCS,5 Tpr Rigid Wheel,5 Tpr Rigid Wheel,no
IND-PLU-BOB-400G-PCK,PCS,400G Plumb Bobs (pack),400G Plumb Bobs (pack),no
LAD-ALU-WORKER-DE10,UNIT,Worker 10 X 10 D/ext Ladder,Worker 10 X 10 D/ext Ladder,no
PAI-BRU-NIP-TR833N,PCS,1.5 Synthetic Paint Brush 750,1.5 Synthetic Paint Brush 750,no
ROP-NYL-2MM,COIL,2.0MM Nylon String,2.0MM Nylon String,no
SCA-PVC-HAN-10KG,PCS,10KG PVC Hanging Scale,10KG PVC Hanging Scale,no
SHH-HOOK-10829BL-NO.10,PKT,Eupro Fishing Hook No. 10(13PC),Eupro Fishing Hook No. 10(13PC),no
SHH-HOOK-10829BL-NO.16,PKT,Eupro Fishing Hook No. 16 (10PC),Eupro Fishing Hook No. 16 (10PC),no
SHH-REEL-GM4000,PCS,Haojia Fishing Reel 12BB GM4000,Haojia Fishing Reel 12BB GM4000,no
SHH-REEL-YY1000,PCS,Maitelei Fishing Reel (13BB) YY1000,Maitelei Fishing Reel (13BB) YY1000,no
SHH-ROD-TKKT6032S,PCS,"Torikumu Kotai Medium Tk-kt (6'0"") Rod","Torikumu Kotai Medium Tk-kt (6'0"") Rod",no
SWI-MK-2G1W-S4782,PCS,Mk 2GANG 1WAY Wide Rocker Socket,Mk 2GANG 1WAY Wide Rocker Socket,no
SWI-SOC-BEL-MK-S4778,PCS,Mk Bell Switch Wide Rocker Socket,Mk Bell Switch Wide Rocker Socket,no
SWI-SOC-ULT-M061MG,PCS,Ultra 16A 1 GANG Doorbell Swi-mat Grey (M061MG),Ultra 16A 1 GANG Doorbell Swi-mat Grey (M061MG),no
TIE-CAB-WHI-200MM,PCK,"White PVC Cable Ties 200MM (8"")","White PVC Cable Ties 200MM (8"")",no
TOO-VIC-FLA-FV01,PCS,FV01 Power Action Flat Vice,FV01 Power Action Flat Vice,no
WIR-BRC-213X4X8-2.3MM,PCS,213 X 4 X 8 Brc,213 X 4 X 8 Brc,no
X-FLO-MOC-CA6603,PCS,CA6603 600X600MM,CA6603 600X600MM,no
X-FLO-MOC-H03-G,PCS,H03-G 600X600MM,H03-G 600X600MM,no
X-FLO-MOC-PA6685W,PCS,PA6685W 600X600MM,PA6685W 600X600MM,no
X-FLO-MOC-R9 S:E11,PCS,Main White R9,Main White R9,no
"ALUM-HOLLOW-2""X1""-3",LGTH,2 X 1 Alum. Hollow Na (LGTH),2 X 1 Alum. Hollow Na (LGTH),no
BAT-ENE-MAX-AAA2PCS,PCK,En Max Aaa 2 Pc,En Max Aaa 2 Pc,no
BBQ-GRI-CN-YH22022,SET,M/purpose Outyard Trolley Bbq Grill W/whee,M/purpose Outyard Trolley Bbq Grill W/whee,no
BNW-B&N-RBN-105-BOX,BOX,Sr G. I Boit & Nut 3/16 X 5/8 (box),Sr G. I Boit & Nut 3/16 X 5/8 (box),no
BNW-B&N-RBN-110,PCK,Sr G. I Boit & Nut 3/16 X 1 (7PCS/PCK),Sr G. I Boit & Nut 3/16 X 1 (7PCS/PCK),no
BNW-NUT-SS304-M10,PCS,SS 304 Nut - M10,SS 304 Nut - M10,no
CAR-TYRE-SHI-WHI-500ML,BTL,Aa Car Care Tyre Shine (white) 500ML,Aa Car Care Tyre Shine (white) 500ML,no
CEI-ROSE-408A-131-CR3,PCS,408A 131 CR3 Ceiling Rose,408A 131 CR3 Ceiling Rose,no
CUT-PIP-PVC-VS1202,PCS,Vison PVC Pipe Cutter,Vison PVC Pipe Cutter,no
CUT-TIL-FIX-FP007-A,BAG,36MM Sensui Leveling Adjusted Knob,36MM Sensui Leveling Adjusted Knob,no
"DOR-FLU-SGD-2106""",PCS,6 Armor Flush Bolt,6 Armor Flush Bolt,no
DRI-MIX-HEX-CEM,PCS,Blimax Hex Cement Mud,Blimax Hex Cement Mud,no
ELE-GRW-06A1PMCB,EA,Grow 6A 1P Mcb,Grow 6A 1P Mcb,no
ELE-LED-SOL-YB-L10532-28W,SET,Marviss 28W Outdoor Sensor Solar Light (L10532),Marviss 28W Outdoor Sensor Solar Light (L10532),no
GAR-CUT-SCI-00903A,PCS,6003 Trimming Scissors-straight,6003 Trimming Scissors-straight,no
